PhraseId,Sentiment
156061,1
156062,1
156063,3
156064,1
156065,1
156066,1
156067,1
156068,1
156069,1
156070,1
156071,1
156072,1
156073,1
156074,1
156075,1
156076,1
156077,1
156078,1
156079,1
156080,1
156081,1
156082,1
156083,1
156084,1
156085,1
156086,1
156087,1
156088,1
156089,3
156090,1
156091,1
156092,1
156093,3
156094,1
156095,1
156096,1
156097,1
156098,1
156099,1
156100,1
156101,1
156102,1
156103,1
156104,1
156105,1
156106,1
156107,1
156108,1
156109,3
156110,1
156111,3
156112,1
156113,3
156114,3
156115,3
156116,3
156117,1
156118,1
156119,1
156120,1
156121,1
156122,1
156123,3
156124,1
156125,1
156126,3
156127,3
156128,1
156129,3
156130,1
156131,1
156132,1
156133,1
156134,1
156135,1
156136,1
156137,3
156138,1
156139,1
156140,1
156141,1
156142,3
156143,1
156144,1
156145,1
156146,1
156147,1
156148,1
156149,1
156150,1
156151,1
156152,1
156153,1
156154,1
156155,1
156156,3
156157,1
156158,3
156159,1
156160,3
156161,1
156162,3
156163,3
156164,3
156165,3
156166,1
156167,3
156168,1
156169,3
156170,3
156171,1
156172,1
156173,1
156174,3
156175,3
156176,3
156177,3
156178,3
156179,3
156180,3
156181,3
156182,1
156183,3
156184,1
156185,3
156186,3
156187,3
156188,1
156189,3
156190,1
156191,3
156192,1
156193,3
156194,3
156195,1
156196,3
156197,3
156198,1
156199,3
156200,3
156201,1
156202,1
156203,1
156204,1
156205,1
156206,1
156207,1
156208,1
156209,1
156210,1
156211,1
156212,1
156213,1
156214,1
156215,1
156216,1
156217,1
156218,1
156219,1
156220,1
156221,1
156222,1
156223,3
156224,3
156225,3
156226,1
156227,3
156228,3
156229,3
156230,1
156231,3
156232,3
156233,1
156234,3
156235,1
156236,1
156237,1
156238,1
156239,1
156240,1
156241,3
156242,1
156243,1
156244,1
156245,1
156246,3
156247,3
156248,3
156249,3
156250,1
156251,1
156252,1
156253,1
156254,1
156255,1
156256,1
156257,1
156258,3
156259,1
156260,1
156261,3
156262,1
156263,3
156264,1
156265,1
156266,1
156267,3
156268,1
156269,3
156270,1
156271,3
156272,1
156273,3
156274,1
156275,1
156276,1
156277,1
156278,1
156279,1
156280,1
156281,1
156282,1
156283,1
156284,3
156285,1
156286,1
156287,1
156288,1
156289,1
156290,1
156291,1
156292,1
156293,1
156294,3
156295,1
156296,1
156297,3
156298,1
156299,3
156300,1
156301,1
156302,1
156303,3
156304,1
156305,1
156306,3
156307,1
156308,1
156309,1
156310,1
156311,1
156312,3
156313,1
156314,1
156315,1
156316,1
156317,1
156318,1
156319,1
156320,1
156321,1
156322,1
156323,1
156324,1
156325,1
156326,1
156327,1
156328,1
156329,1
156330,1
156331,1
156332,1
156333,1
156334,1
156335,1
156336,1
156337,1
156338,1
156339,1
156340,1
156341,1
156342,3
156343,1
156344,1
156345,1
156346,1
156347,1
156348,1
156349,1
156350,1
156351,3
156352,1
156353,1
156354,1
156355,1
156356,1
156357,3
156358,1
156359,1
156360,1
156361,1
156362,1
156363,1
156364,1
156365,1
156366,1
156367,1
156368,1
156369,1
156370,1
156371,1
156372,1
156373,1
156374,1
156375,1
156376,1
156377,1
156378,1
156379,1
156380,1
156381,1
156382,1
156383,1
156384,1
156385,1
156386,1
156387,3
156388,1
156389,1
156390,1
156391,1
156392,1
156393,1
156394,3
156395,1
156396,1
156397,1
156398,1
